element,1.0,1.2,1.5,1.8,1.9,2.0,2.2,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5
H,-8.1065e-03,-1.2313e-02,-1.2831e-02,-1.1831e-02,-1.0851e-02,-1.0190e-02,-1.4957e-02,-3.0223e-02,-6.9401e-02,-9.3698e-02,-6.3139e-02,-8.2271e-02,-1.8215e-01,-2.7527e-01,-3.5149e-01,-4.1976e-01
He,2.0302e-03,3.0802e-03,3.2020e-03,2.9391e-03,2.6885e-03,2.5184e-03,3.4446e-03,6.0027e-03,1.2946e-02,1.7430e-02,1.2281e-02,1.9688e-02,4.1902e-02,6.2827e-02,8.2841e-02,1.0066e-01
Li,-2.3829e-10,-7.9421e-10,-7.6446e-10,-1.0370e-09,-1.6167e-09,-1.7116e-09,-1.4856e-09,-1.7531e-09,-2.3261e-09,-3.6869e-09,-4.2489e-09,-4.7013e-09,-2.0514e-09,-4.3803e-09,-5.4883e-09,-5.6050e-09
Be,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
B,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
C,-1.2687e-05,-3.5582e-05,-6.2519e-05,-8.8981e-05,-1.0000e-04,-1.0765e-04,-4.6158e-05,3.2540e-04,1.1499e-03,1.5762e-03,7.8172e-04,-8.6755e-05,4.2418e-04,-4.8962e-04,-7.8051e-04,-8.9924e-04
N,1.2836e-05,3.5957e-05,6.3081e-05,8.9436e-05,1.0055e-04,1.0839e-04,1.3696e-04,1.6384e-04,2.2093e-04,2.8811e-04,3.6309e-04,4.6702e-04,8.4857e-04,2.4313e-03,2.5867e-03,2.6081e-03
O,-1.1849e-07,-2.9751e-07,-4.4157e-07,-3.0288e-07,-3.6882e-07,-5.4265e-07,-1.0618e-05,-2.5193e-05,-6.8252e-05,-1.0401e-04,-1.0365e-04,-1.3534e-04,-2.3044e-04,-3.7575e-04,-5.0565e-04,-6.0757e-04
F,9.6732e-12,6.5721e-11,1.1406e-10,1.3587e-10,8.5842e-11,4.1723e-11,4.8754e-09,4.0047e-08,1.7829e-07,2.9685e-07,1.1865e-07,1.0052e-08,1.0126e-07,1.4076e-08,-4.6578e-08,-6.6974e-08
Ne,-5.6925e-09,-1.5725e-08,-6.8292e-08,-1.8431e-07,-2.8619e-07,-3.5068e-07,2.7205e-06,2.1468e-05,8.2402e-05,1.1978e-04,5.2616e-05,7.8354e-06,4.2347e-05,6.3726e-05,4.4314e-05,3.2025e-05
Na,6.0157e-09,1.6125e-08,6.8400e-08,1.8439e-07,2.8634e-07,3.5067e-07,6.2470e-07,1.0222e-06,2.2118e-06,2.8410e-06,2.3976e-06,2.6176e-06,3.9142e-06,4.9052e-06,5.7491e-06,6.5013e-06
Mg,-6.4636e-11,1.0965e-10,-1.4588e-11,1.2555e-10,6.0396e-11,-2.0377e-11,2.9841e-09,4.2035e-08,5.0179e-07,1.7882e-06,1.6452e-06,5.4258e-08,3.2586e-06,8.9010e-06,7.6653e-06,7.8508e-06
Al,4.1096e-12,9.8359e-12,2.4253e-12,-9.4319e-12,2.1559e-12,2.9643e-11,9.8456e-09,4.5663e-08,1.3922e-07,2.2225e-07,2.3276e-07,8.0496e-08,4.7963e-07,8.2526e-07,7.1359e-07,5.6389e-07
Si,-1.1839e-10,1.0846e-10,3.0818e-11,2.9022e-11,1.5721e-11,3.6477e-12,4.7619e-09,8.8501e-09,3.7983e-08,9.2785e-08,1.1040e-07,2.0535e-08,3.0401e-07,8.1877e-07,8.3640e-07,8.8874e-07
P,-3.2271e-13,1.3202e-12,-5.8677e-14,1.0268e-12,2.9338e-14,-1.1735e-13,1.1313e-10,5.5516e-10,2.5792e-09,6.7839e-09,7.0745e-09,6.7700e-10,1.7847e-08,5.0223e-08,4.7365e-08,5.0565e-08
S,6.1250e-11,7.2258e-11,-7.3415e-12,4.6250e-12,1.4966e-11,8.0409e-13,2.4179e-09,-1.2384e-09,-1.5633e-08,-5.9406e-08,-5.5022e-08,6.4599e-11,-9.7604e-08,-2.0172e-07,-1.8029e-07,-1.6473e-07
Cl,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
Ar,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
K,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
Ca,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
Sc,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
Ti,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
V,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
Cr,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
Mn,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
Fe,-4.9902e-11,1.0472e-10,6.7586e-11,7.0201e-12,4.7524e-11,6.4415e-12,2.8664e-09,-2.5451e-09,-1.8167e-08,-6.1083e-08,-6.6334e-08,1.0868e-09,-1.7277e-07,-4.3786e-07,-3.9966e-07,-3.9024e-07
Co,2.3315e-13,2.5436e-13,2.6976e-14,7.7076e-14,1.6956e-13,-1.5415e-14,3.4419e-10,2.6486e-09,1.3426e-08,3.5402e-08,3.3963e-08,1.8793e-09,6.2805e-08,1.3102e-07,1.0589e-07,9.3207e-08
Ni,1.9741e-12,5.4217e-12,-1.5252e-12,1.8828e-12,-8.4443e-13,1.4788e-12,-1.9003e-10,-2.5965e-09,-9.0799e-09,-2.8884e-09,2.0374e-08,-5.7032e-10,1.0211e-07,3.1329e-07,2.8303e-07,2.8736e-07
Cu,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
Zn,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
Ga,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
Ge,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
