element,20.,25.,30.,40.
H,8.4343e+00,9.8012e+00,1.1046e+01,1.2902e+01
He,1.4889e+00,1.7500e+00,2.1062e+00,2.7070e+00
Li,1.2027e-11,1.3032e-13,1.5961e-13,2.7246e-13
Be,1.9142e-22,2.8232e-26,2.8778e-17,1.5048e-19
B,1.1892e-12,3.8733e-12,1.1421e-12,9.6204e-13
C,1.0342e-02,1.6161e-02,8.7696e-03,4.2555e-03
N,9.1859e-04,6.5748e-04,4.4238e-04,6.0968e-04
O,1.2480e-01,2.3125e-01,3.0905e-01,4.0101e-01
F,1.4762e-07,3.1949e-08,1.0735e-07,8.6837e-08
Ne,2.2844e-02,5.2521e-02,5.2313e-02,9.1502e-03
Na,5.5961e-05,2.9404e-04,2.0339e-04,2.6274e-05
Mg,9.7334e-03,8.1571e-03,1.3182e-02,2.1764e-02
Al,2.3414e-04,1.9151e-04,3.2226e-04,7.2644e-04
Si,4.1402e-03,4.0295e-03,8.5100e-03,2.5980e-02
P,8.7352e-06,5.9352e-06,1.2742e-05,8.6181e-05
S,1.1534e-03,1.3472e-03,2.9332e-03,8.8817e-03
Cl,1.4596e-06,2.0516e-06,3.8892e-06,1.2538e-05
Ar,1.5793e-04,1.9371e-04,3.9921e-04,1.0524e-03
K,5.8958e-07,5.0536e-07,1.5663e-06,4.6282e-06
Ca,1.1518e-04,1.3958e-04,2.8118e-04,7.3612e-04
Sc,4.7387e-09,7.0720e-09,1.2332e-08,2.3127e-08
Ti,3.6920e-06,4.7108e-06,7.8729e-06,7.8763e-06
V,2.3405e-07,1.0693e-06,9.2744e-07,5.4046e-07
Cr,1.5223e-05,1.8435e-05,3.1247e-05,6.1334e-05
Mn,1.9736e-06,2.0389e-06,3.5620e-06,8.4680e-06
Fe,1.4919e-03,2.7474e-03,3.6795e-03,4.7735e-03
Co,2.6188e-06,1.1179e-05,1.3323e-05,7.6080e-06
Ni,5.8193e-05,1.2590e-04,1.5092e-04,1.6086e-04
Cu,3.5150e-07,7.5702e-07,9.3639e-07,7.4999e-07
Zn,5.6113e-06,8.8501e-06,1.3331e-05,1.1377e-05
Ga,2.9468e-08,5.6584e-08,9.8241e-08,1.0810e-07
Ge,1.0202e-07,2.3134e-07,3.9048e-07,4.6325e-07
