element,Mass Number,II,W7,W70,WDD1,WDD2,WDD3,CDD1,CDD2
C,12.0,0.0793,0.0483,0.0508,0.00542,0.00899,0.0166,0.00993,0.00508
C,13.0,3.8e-09,1.4e-06,1.56e-09,5.06e-07,3.3e-07,3.17e-07,8.46e-07,4.16e-07
N,14.0,0.00156,1.16e-06,3.31e-08,0.000284,0.000269,0.000182,9.06e-05,9.03e-05
N,15.0,1.66e-08,1.32e-09,4.13e-07,9.99e-07,5.32e-07,1.21e-07,2.53e-07,2.47e-07
O,16.0,1.8,0.143,0.133,0.0882,0.0658,0.0558,0.0934,0.0583
O,17.0,9.88e-08,3.54e-08,3.33e-10,3.77e-06,4.58e-06,3.6e-06,9.55e-07,1.01e-06
O,18.0,0.00461,8.25e-10,2.69e-10,6.88e-07,6.35e-07,2.39e-07,2.08e-07,1.92e-07
F,19.0,1.16e-09,5.67e-10,1.37e-10,1.7e-09,4.5e-10,2.3e-10,5.83e-10,4.24e-10
Ne,20.0,0.212,0.00202,0.00229,0.00129,0.000622,0.000455,0.00116,0.000605
Ne,21.0,0.00108,8.46e-06,2.81e-08,1.16e-05,1.39e-06,1.72e-06,3.63e-06,1.99e-06
Ne,22.0,0.0183,0.00249,2.15e-08,0.000151,0.000421,0.000825,0.000441,0.000211
Na,23.0,0.00651,6.32e-05,1.41e-05,8.77e-05,2.61e-05,3.01e-05,5.1e-05,3.5e-05
Mg,24.0,0.0883,0.0085,0.0158,0.00755,0.00447,0.00262,0.00772,0.0042
Mg,25.0,0.0144,4.05e-05,1.64e-07,8.23e-05,2.66e-05,2.68e-05,4.85e-05,3.25e-05
Mg,26.0,0.0201,3.18e-05,1.87e-07,6.25e-05,2.59e-05,1.41e-05,4.96e-05,2.97e-05
Al,27.0,0.0148,0.000986,0.000113,0.000438,0.000247,0.000141,0.000445,0.000235
Si,28.0,0.105,0.154,0.142,0.272,0.206,0.158,0.277,0.198
Si,29.0,0.00899,0.000908,5.79e-05,0.000547,0.00034,0.000213,0.000552,0.000322
Si,30.0,0.00805,0.00169,7.12e-05,0.00103,0.000641,0.000388,0.00105,0.000614
P,31.0,0.00121,0.000357,9.12e-05,0.000238,0.00016,0.000107,0.00024,0.000152
S,32.0,0.0384,0.0846,0.0914,0.16,0.122,0.0937,0.163,0.117
S,33.0,0.000178,0.000424,6.07e-05,0.000274,0.000192,0.000134,0.000271,0.000179
S,34.0,0.00262,0.00198,1.74e-05,0.00276,0.00204,0.00146,0.00277,0.0019
S,36.0,1.78e-06,4.18e-07,3.41e-11,2.23e-07,1.31e-07,7.44e-08,2.22e-07,1.25e-07
Cl,35.0,0.000101,0.000137,1.06e-05,9.28e-05,7.07e-05,5.33e-05,9.03e-05,6.56e-05
Cl,37.0,1.88e-05,3.67e-05,5.56e-06,2.94e-05,2.26e-05,1.71e-05,2.86e-05,2.11e-05
Ar,36.0,0.00662,0.0147,0.0191,0.0311,0.0241,0.0187,0.0318,0.0234
Ar,38.0,0.00137,0.00095,6.6e-07,0.00123,0.00099,0.000744,0.0012,0.000926
Ar,40.0,2.27e-08,1.87e-08,3.42e-12,7.81e-09,5.19e-09,3.56e-09,7.56e-09,4.82e-09
K,39.0,6.23e-05,7.23e-05,1.67e-06,6.76e-05,5.67e-05,4.52e-05,6.39e-05,5.34e-05
K,41.0,5.07e-06,6.11e-06,4.83e-07,5.43e-06,4.52e-06,3.62e-06,5.2e-06,4.25e-06
Ca,40.0,0.00577,0.0119,0.0181,0.031,0.0243,0.0188,0.0318,0.0238
Ca,42.0,4.23e-05,2.82e-05,1.06e-08,3.09e-05,2.55e-05,1.93e-05,2.97e-05,2.36e-05
Ca,43.0,1.08e-06,9.64e-08,6.17e-08,6.6e-08,2.22e-07,4.18e-07,5.15e-08,2.96e-07
Ca,44.0,5.53e-05,8.02e-06,1.38e-05,1.44e-05,2.95e-05,4.66e-05,1.37e-05,3.62e-05
Ca,46.0,1.43e-10,4.16e-09,1.01e-09,5.01e-09,4.73e-09,4.47e-09,8.79e-10,1.18e-09
Ca,48.0,5.33e-14,2.6e-09,2.47e-09,1.63e-06,1.64e-06,1.55e-06,3.54e-11,4.93e-10
Sc,45.0,2.29e-07,2.21e-07,3.85e-08,2.49e-07,2.09e-07,1.76e-07,2.47e-07,2.02e-07
Ti,46.0,7.48e-06,1.33e-05,3.49e-07,1.34e-05,1.12e-05,8.58e-06,1.27e-05,1.05e-05
Ti,47.0,2.11e-06,5.1e-07,4.08e-07,5.65e-07,1.56e-06,2.57e-06,4.93e-07,1.95e-06
Ti,48.0,0.000116,0.000205,0.000313,0.00071,0.000611,0.000523,0.000732,0.00062
Ti,49.0,5.98e-06,1.71e-05,2.94e-06,5.27e-05,4.39e-05,3.59e-05,5.22e-05,4.17e-05
Ti,50.0,3.81e-10,0.000107,0.000104,0.000352,0.000351,0.000351,2.08e-05,7.28e-05
V,50.0,7.25e-10,1.55e-08,1.22e-08,9.74e-09,9.33e-09,9.07e-09,4.94e-09,1.2e-08
V,51.0,1e-05,7.49e-05,4.27e-05,0.000133,0.000116,0.000102,0.000111,0.000109
Cr,50.0,4.64e-05,0.000273,6.65e-05,0.000444,0.000353,0.000284,0.000449,0.000336
Cr,52.0,0.00115,0.00636,0.00773,0.0168,0.0137,0.0113,0.0165,0.014
Cr,53.0,0.000119,0.000922,0.000566,0.00166,0.00138,0.00117,0.00159,0.00133
Cr,54.0,2.33e-08,0.000924,0.000904,0.0016,0.0016,0.0016,0.000231,0.000802
Mn,55.0,0.000386,0.00887,0.00666,0.00848,0.00705,0.00616,0.0081,0.00677
Fe,54.0,0.00362,0.0955,0.073,0.0708,0.0591,0.0515,0.072,0.0564
Fe,56.0,0.0844,0.626,0.68,0.587,0.713,0.795,0.565,0.757
Fe,57.0,0.00272,0.0245,0.0192,0.0108,0.0167,0.0206,0.0101,0.018
Fe,58.0,7.22e-09,0.00303,0.00296,0.00323,0.00323,0.00324,0.000863,0.00306
Co,59.0,7.27e-05,0.00104,0.000968,0.000395,0.000625,0.000775,0.000291,0.000635
Ni,58.0,0.00363,0.11,0.0834,0.0314,0.0429,0.0497,0.0315,0.0447
Ni,60.0,0.00175,0.0124,0.0147,0.00508,0.0115,0.0167,0.00281,0.0121
Ni,61.0,8.35e-05,0.000235,0.000215,7e-05,0.000358,0.000592,4e-05,0.000427
Ni,62.0,0.000509,0.00307,0.00185,0.00137,0.00369,0.00546,0.000651,0.0046
Ni,64.0,3.2e-14,1.7e-05,1.65e-05,0.000232,0.000231,0.000232,2.47e-06,9.29e-06
Cu,63.0,8.37e-07,2.32e-06,3e-06,2.77e-06,4.88e-06,5.92e-06,6.14e-07,3.97e-06
Cu,65.0,4.07e-07,6.84e-07,8.33e-07,7.08e-07,2.04e-06,3.38e-06,1.14e-07,2.05e-06
Zn,64.0,1.03e-05,1.06e-05,7.01e-05,3.71e-06,3.1e-05,5.76e-05,1.87e-06,3.96e-05
Zn,66.0,8.61e-06,1.76e-05,6.26e-06,2.16e-05,6.42e-05,0.000104,2.84e-06,6.11e-05
Zn,67.0,1.52e-08,1.58e-08,7.28e-09,6.35e-07,6.55e-07,6.27e-07,1.69e-09,4.01e-08
Zn,68.0,3.92e-09,1.74e-08,1.13e-08,7.44e-08,8.81e-08,9.42e-08,3.08e-09,3.03e-08
