element,13.0,15.0,18.0,20.0,25.0,30.0,40.0
H,6.1549e+00,6.7872e+00,7.5261e+00,7.9342e+00,5.3161e+00,8.7500e+00,3.5514e+00
He,1.0745e+00,1.3124e+00,1.5285e+00,1.6908e+00,1.3364e+00,2.0899e+00,1.1765e+00
Li,8.0399e-12,1.0134e-13,3.9986e-14,6.1659e-13,3.6477e-14,6.1891e-14,8.1666e-14
Be,5.1241e-20,1.7177e-19,8.4047e-19,5.2429e-24,3.4493e-20,5.4618e-24,7.8133e-24
B,5.0141e-11,6.8273e-11,7.2466e-11,7.4161e-11,1.9530e-11,7.8352e-11,9.8876e-15
C,9.0171e-03,5.5107e-03,1.1448e-02,2.0523e-02,1.2789e-02,2.0996e-02,4.9680e-02
N,3.4335e-03,4.3961e-03,4.7226e-03,5.1512e-03,4.0117e-03,7.3083e-03,4.1507e-03
O,1.3880e-02,1.0292e-02,4.8848e-02,6.6146e-02,1.8812e-01,2.0146e-01,4.5908e-01
F,7.4700e-07,8.6389e-07,2.3544e-07,3.1831e-06,1.2808e-05,4.1098e-07,2.7682e-07
Ne,1.9523e-03,1.7806e-03,7.7795e-03,2.0178e-02,5.1094e-02,4.7813e-02,1.1114e-01
Na,4.0222e-05,4.6196e-05,1.2745e-04,7.3113e-04,1.2862e-03,1.5081e-03,3.3756e-03
Mg,1.2350e-03,1.7043e-03,4.7868e-03,3.8998e-03,1.0545e-02,1.0160e-02,1.8667e-02
Al,5.5430e-05,9.0444e-05,3.7126e-04,3.6672e-04,1.1840e-03,1.2628e-03,3.0733e-03
Si,2.7761e-03,3.1613e-03,4.0736e-03,2.4104e-03,1.2654e-02,9.1874e-03,9.2887e-03
P,1.2092e-05,2.2778e-05,5.6174e-05,2.1211e-05,5.8748e-05,8.2594e-05,1.1370e-04
S,1.2202e-03,1.1368e-03,1.2292e-03,9.3445e-04,5.7940e-03,3.5105e-03,3.5231e-03
Cl,4.0930e-06,4.5761e-06,6.5281e-06,5.8399e-06,1.8522e-05,1.3757e-05,2.3131e-05
Ar,1.9274e-04,1.5331e-04,1.7275e-04,1.4735e-04,8.5303e-04,5.4474e-04,5.4729e-04
K,1.4043e-06,1.9382e-06,2.1600e-06,2.1178e-06,7.9409e-06,3.7902e-06,4.0320e-06
Ca,1.2432e-04,1.0166e-04,1.1540e-04,9.5275e-05,4.9763e-04,3.9410e-04,3.9155e-04
Sc,1.6205e-08,2.0666e-08,2.8016e-08,2.8887e-08,8.1940e-08,5.7222e-08,1.3660e-07
Ti,2.0606e-06,2.6452e-06,3.2783e-06,2.9626e-06,5.5006e-06,6.4444e-06,6.9454e-06
V,2.3144e-07,1.9572e-07,2.2493e-07,2.6178e-07,2.3624e-07,4.9601e-07,4.4332e-07
Cr,1.4213e-05,2.7060e-05,2.7450e-05,2.3159e-05,7.0660e-05,8.0016e-05,8.0310e-05
Mn,5.1085e-06,6.9096e-06,7.3600e-06,6.5449e-06,6.3140e-06,1.8915e-05,1.5057e-05
Fe,1.5618e-03,1.6027e-03,1.6607e-03,1.6739e-03,1.5894e-03,1.8574e-03,1.6043e-03
Co,2.3880e-06,1.5254e-06,3.0842e-06,4.9536e-06,6.7893e-06,9.1405e-06,1.1771e-05
Ni,7.9420e-05,5.5908e-05,9.1690e-05,8.4791e-05,5.4373e-05,4.3370e-05,9.5272e-05
Cu,4.4780e-07,3.1649e-07,4.1956e-07,2.7018e-06,9.1795e-06,1.5584e-06,2.0865e-05
Zn,2.0382e-06,1.4728e-06,1.4348e-06,3.9206e-06,1.4126e-05,7.5822e-07,4.5678e-05
Ga,4.5128e-08,2.3451e-08,2.8144e-08,1.6894e-07,1.3080e-06,3.5506e-08,4.3945e-06
Ge,1.1806e-07,6.5082e-08,1.4231e-07,6.6277e-07,7.5819e-06,7.6998e-07,3.2975e-05
